pair,Grover's algorithm ↔ Grover algorithm,Grover's algorithm ↔ NISQ devices,Grover's algorithm ↔ post-quantum cryptography PQC,Grover's algorithm ↔ QOA,Grover's algorithm ↔ quantum computer,Grover's algorithm ↔ quantum computing,Grover's algorithm ↔ quantum machine learning,Grover's algorithm ↔ quantum optimization algorithms,Grover's algorithm ↔ Shor's quantum algorithms,Noisy intermediate-scale quantum NISQ computing ↔ Grover algorithm,Noisy intermediate-scale quantum NISQ computing ↔ NISQ devices,Noisy intermediate-scale quantum NISQ computing ↔ post-quantum cryptography PQC,Noisy intermediate-scale quantum NISQ computing ↔ QOA,Noisy intermediate-scale quantum NISQ computing ↔ quantum computer,Noisy intermediate-scale quantum NISQ computing ↔ quantum computing,Noisy intermediate-scale quantum NISQ computing ↔ quantum machine learning,Noisy intermediate-scale quantum NISQ computing ↔ quantum optimization algorithms,Noisy intermediate-scale quantum NISQ computing ↔ Shor's quantum algorithms,Peter Shor ↔ Grover algorithm,Peter Shor ↔ NISQ devices,Peter Shor ↔ post-quantum cryptography PQC,Peter Shor ↔ QOA,Peter Shor ↔ quantum computer,Peter Shor ↔ quantum computing,Peter Shor ↔ quantum machine learning,Peter Shor ↔ quantum optimization algorithms,Peter Shor ↔ Shor's quantum algorithms,Post-quantum cryptography ↔ Grover algorithm,Post-quantum cryptography ↔ NISQ devices,Post-quantum cryptography ↔ post-quantum cryptography PQC,Post-quantum cryptography ↔ QOA,Post-quantum cryptography ↔ quantum computer,Post-quantum cryptography ↔ quantum computing,Post-quantum cryptography ↔ quantum machine learning,Post-quantum cryptography ↔ quantum optimization algorithms,Post-quantum cryptography ↔ Shor's quantum algorithms,Quantum computer ↔ Grover algorithm,Quantum computer ↔ NISQ devices,Quantum computer ↔ post-quantum cryptography PQC,Quantum computer ↔ QOA,Quantum computer ↔ quantum computer,Quantum computer ↔ quantum computing,Quantum computer ↔ quantum machine learning,Quantum computer ↔ quantum optimization algorithms,Quantum computer ↔ Shor's quantum algorithms,Quantum computing ↔ Grover algorithm,Quantum computing ↔ NISQ devices,Quantum computing ↔ post-quantum cryptography PQC,Quantum computing ↔ QOA,Quantum computing ↔ quantum computer,Quantum computing ↔ quantum computing,Quantum computing ↔ quantum machine learning,Quantum computing ↔ quantum optimization algorithms,Quantum computing ↔ Shor's quantum algorithms,Quantum machine learning QML ↔ Grover algorithm,Quantum machine learning QML ↔ NISQ devices,Quantum machine learning QML ↔ post-quantum cryptography PQC,Quantum machine learning QML ↔ QOA,Quantum machine learning QML ↔ quantum computer,Quantum machine learning QML ↔ quantum computing,Quantum machine learning QML ↔ quantum machine learning,Quantum machine learning QML ↔ quantum optimization algorithms,Quantum machine learning QML ↔ Shor's quantum algorithms,Quantum optimization algorithms ↔ Grover algorithm,Quantum optimization algorithms ↔ NISQ devices,Quantum optimization algorithms ↔ post-quantum cryptography PQC,Quantum optimization algorithms ↔ QOA,Quantum optimization algorithms ↔ quantum computer,Quantum optimization algorithms ↔ quantum computing,Quantum optimization algorithms ↔ quantum machine learning,Quantum optimization algorithms ↔ quantum optimization algorithms,Quantum optimization algorithms ↔ Shor's quantum algorithms,Shor's algorithm ↔ Grover algorithm,Shor's algorithm ↔ NISQ devices,Shor's algorithm ↔ post-quantum cryptography PQC,Shor's algorithm ↔ QOA,Shor's algorithm ↔ quantum computer,Shor's algorithm ↔ quantum computing,Shor's algorithm ↔ quantum machine learning,Shor's algorithm ↔ quantum optimization algorithms,Shor's algorithm ↔ Shor's quantum algorithms
Grover's algorithm ↔ Grover algorithm,-0.8859383463859558,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.4069551229476929,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grover's algorithm ↔ NISQ devices,2.0,-0.6793169975280762,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grover's algorithm ↔ post-quantum cryptography PQC,2.0,2.0,-0.6871253252029419,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Grover's algorithm ↔ QOA,2.0,2.0,2.0,-0.6127569675445557,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Grover's algorithm ↔ quantum computer,2.0,2.0,2.0,2.0,-0.7023693919181824,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Grover's algorithm ↔ quantum computing,2.0,2.0,2.0,2.0,2.0,-0.6518799662590027,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Grover's algorithm ↔ quantum machine learning,2.0,2.0,2.0,2.0,2.0,2.0,-0.6556464433670044,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Grover's algorithm ↔ quantum optimization algorithms,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.7312690615653992,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Grover's algorithm ↔ Shor's quantum algorithms,1.4069551229476929,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.7081319689750671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Noisy intermediate-scale quantum NISQ computing ↔ Grover algorithm,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7175086140632629,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7674943208694458,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
